epoch,accuracy,loss,val_accuracy,val_loss
0,0.9594857692718506,0.14171236753463745,0.9563182592391968,0.19428421556949615
0,0.9610440135002136,0.11919809132814407,0.9344773888587952,0.2754707634449005
1,0.9785742163658142,0.06600306928157806,0.950078010559082,0.23162594437599182
2,0.9738994836807251,0.07228951901197433,0.9391575455665588,0.25013548135757446
3,0.9774055480957031,0.06590089946985245,0.9422776699066162,0.25605282187461853
4,0.9641605019569397,0.10798965394496918,0.8814352750778198,0.6538680791854858
0,0.8382169604301453,0.5514946579933167,0.9357855319976807,0.25831687450408936
1,0.9245635867118835,0.23108887672424316,0.9566708207130432,0.16156239807605743
2,0.9270573854446411,0.2238287478685379,0.9498129487037659,0.2033892273902893
3,0.9376558661460876,0.20434509217739105,0.9554239511489868,0.39246514439582825
4,0.9448254108428955,0.1822827160358429,0.964775562286377,0.21234062314033508
